Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,GEN,Kerala,"Medical College, Trivandrum",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,605(1),294(1),1658(1),-,-,-,-,-,-,-,282(2),282(2),282(2)
,AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,374(1),374(1),374(1),-,-,212(1),212(1),212(1),-,-,283(1),283(1),283(1)
,AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,517(1),517(1),517(1),-,-,293(1),293(1),293(1)
,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,173(4),283(4),283(4),-,-,127(3),127(3),127(3),-,-,125(4),125(4),295(4)
,DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,453(4),453(4),453(4),-,-,356(5),383(5),383(5),-,-,296(5),296(5),296(5)
,AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,"₹16,300*","₹1,25,000*",0,₹0,594,508(1),524(1),732(1),-,-,447(1),447(1),469(1),-,-,297(1),326(1),297(1)
,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,132(2),185(2),185(2),-,-,89(3),189(3),242(3),-,-,209(3),329(3),306(3)
,AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),-,-,50(2),50(2),73(2),-,-,156(4),307(4),307(4)
,AIQ,GEN,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,222(2),222(2),222(2),-,-,144(2),144(2),144(2),-,-,309(2),309(2),309(2)
,AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,339(5),339(5),438(5),-,-,263(6),263(6),263(6),-,-,228(6),229(6),316(6)
,AIQ,GEN,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,421(6),448(6),448(6),-,-,206(5),206(5),206(5),-,-,289(6),317(6),317(6)
,AIQ,GEN,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,117(2),122(2),122(2),-,-,150(4),166(4),324(4),-,-,164(1),164(1),319(1)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",OBG,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,862(3),1238(3),1238(3),-,-,603(5),603(5),1132(5),-,-,324(2),324(2),324(2)
,AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,97(1),198(1),79(1),-,-,79(1),79(1),82(1),-,-,187(4),341(4),332(4)
,AIQ,EWS,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,-,-,-,-,-,483(1),483(1),483(1),-,-,334(1),334(1),334(1)
,AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,"₹48,226*","₹1,12,054*",0,₹0,2424,-,-,-,-,-,187(1),187(1),552(1),-,-,335(1),335(1),335(1)
,AIQ,OBC,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,564(2),576(2),529(2),-,-,-,-,-,-,-,383(2),337(2),337(2)
,AIQ,GEN,Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,"₹54,700*","₹1,14,975*",0,₹0,1269,152(2),152(2),152(2),-,-,324(2),329(2),481(2),-,-,326(2),393(2),339(2)
,AIQ,OBC,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,1044(1),1044(1),1044(1),-,-,914(1),911(1),1724(1),-,-,344(1),344(1),344(1)
,AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,89(1),89(1),89(1),-,-,135(3),135(3),135(3),-,-,104(2),347(2),347(2)
,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1190(4),1190(4),1283(4),-,-,736(3),978(3),1299(3),-,-,356(3),356(3),356(3)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,245(2),245(2),245(2),-,-,359(1),359(1),359(1)
,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,238(4),343(4),467(4),-,-,268(4),319(4),504(4),-,-,357(3),360(3),360(3)
,AIQ,OBC,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",714,-,-,-,-,-,244(1),292(1),292(1),-,-,-,361(1),361(1)
,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,204(5),204(5),204(5),-,-,266(5),266(5),266(5),-,-,265(5),370(5),370(5)
,AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,-,-,-,-,-,858(1),1064(1),1065(1),-,-,372(1),372(1),372(1)
,AIQ,GEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,231(3),361(3),361(3),-,-,290(3),362(3),362(3),-,-,294(3),348(3),373(3)
,AIQ,GEN,Kerala,"TD Med Coll, Allepey",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,393(1),393(1),393(1),-,-,-,-,-,-,-,377(2),377(2),377(2)
,AIQ,OBC,Bihar,"IGIMS, Patna",RADIO DIAGNOSIS,"₹1,60,000*","₹1,22,878*",0,₹0,1170,867(1),1712(1),1712(1),-,-,597(1),597(1),597(1),-,-,380(1),380(1),380(1)
,AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹15,000*","₹67,032",1,"₹20,00,000",4800,405(3),405(3),405(3),-,-,333(3),272(3),526(3),-,-,381(3),381(3),381(3)
,AIQ,OBC,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,607(1),607(1),607(1),-,-,-,-,-,-,-,343(1),383(2),383(2)
,AIQ,GEN,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,387(6),465(6),465(6),-,-,221(4),208(4),208(4),-,-,203(4),203(4),388(4)
,AIQ,EWS,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,218(1),218(1),218(1),-,-,-,-,-,-,-,390(1),390(1),390(1)
,AIQ,OBC,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,481(1),820(1),1134(1),-,-,467(2),630(2),630(2),-,-,218(1),395(1),395(1)
,AIQ,OBC,Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",3101,1175(1),2156(1),1207(1),-,-,721(1),721(1),721(1),-,-,397(1),397(1),397(1)
,AIQ,GEN,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,516(3),1095(3),1095(3),-,-,374(3),374(3),502(3),-,-,398(2),398(2),398(2)
,AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",RADIO DIAGNOSIS,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,-,-,-,-,-,404(1),404(1),404(1),-,-,400(1),400(1),400(1)
,AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,485(2),606(2),606(2),-,-,352(2),425(2),425(2),-,-,402(1),402(1),402(1)
,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,841(1),841(1),841(1),-,-,702(1),702(1),702(1),-,-,405(1),405(1),405(1)
,AIQ,GEN,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,549(4),549(4),549(4),-,-,659(5),1139(5),1139(5),-,-,407(6),407(6),407(6)
