Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,726(1),1091(1),1091(1),-,-,302(1),302(1),878(1)
,AIQ,GEN,Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,858(5),1240(5),1478(5),2815(1),-,674(5),1364(5),1364(5),-,-,443(3),740(3),879(3)
,DU,GEN,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,788(3),788(3),788(3),-,-,397(1),397(1),476(1),-,-,579(3),880(3),880(3)
,AIQ,EWS,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,-,-,-,-,-,-,-,-,-,-,561(1),881(1),881(1)
,AIQ,OBC,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,436(3),480(3),829(3),-,-,424(2),424(2),424(2),-,-,745(2),745(2),884(2)
,IP,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,1883(1),1883(1),1883(1),-,-,885(1),885(1),885(1)
,AIQ,EWS,Jammu and Kashmir,"Govt Med Coll, Jammu",RADIO DIAGNOSIS,"₹25,000*","₹63,240",0*,₹0*,2663,1767(1),1767(1),1767(1),-,-,1392(1),2035(1),2035(1),-,-,890(1),890(1),890(1)
,DU,GEN,Delhi,"MAMC, Delhi",DERMATOLOGY,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,937(1),937(1),937(1),-,-,-,-,-,-,-,893(1),893(1),893(1)
,AIQ,OBC,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296,820(2),865(2),865(2),-,-,533(1),576(1),588(1),-,-,500(2),896(2),896(2)
,AIQ,GEN,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,287(4),287(4),287(4),-,-,589(5),888(5),1507(5),-,-,625(5),871(5),897(5)
,DNB Post MBBS,GEN,Maharashtra,"Jaslok Hospital, Mumbai",DNBNUCLEAR MEDICINE,"₹1,25,000","₹86,629*",0,₹0,361,3897(1),4182(1),4182(1),-,-,1982(1),1982(1),1982(1),-,-,754(2),901(2),901(2)
,AIQ,SC,Assam,"Gauhati Med Coll, Guwahati",RADIO DIAGNOSIS,"₹27,300*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,-,-,-,-,-,902(1),902(1),902(1)
,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL SURGERY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,1987(2),1987(2),1987(2),-,-,683(1),683(1),683(1),-,-,906(1),906(1),906(1)
,AIQ,GEN,Karnataka,"Mandya IMS, Mandya",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910,839(2),896(2),896(2),-,-,443(1),593(1),593(1),-,-,546(1),911(1),911(1)
,AIQ,GEN,Karnataka,"KIMS, Hubli",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1200,1184(5),1468(5),1521(5),-,-,690(5),1052(5),1351(5),-,-,327(3),723(3),912(3)
,AIQ,GEN,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1737,1449(4),1907(4),2052(4),-,-,1197(3),1846(3),1846(3),-,-,947(3),913(3),913(3)
,AIQ,GEN,West Bengal,"Govt. Med College, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹61,634",3*,"₹30,00,000*",2668,359(1),878(1),878(1),-,-,152(1),545(1),605(1),-,-,915(1),897(1),922(1)
,AIQ,EWS,Karnataka,"Mysore Med Coll, Mysore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050,-,-,-,-,-,732(1),1075(1),1075(1),-,-,881(1),930(1),930(1)
,AIQ,OBC,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",1200,1894(1),2074(1),2074(1),-,-,2436(2),2447(2),2447(2),-,-,1753(1),2398(1),931(1)
,AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,756(2),756(2),1390(2),-,-,318(1),382(1),382(1),-,-,596(1),938(1),938(1)
,AIQ,GEN,Madhya Pradesh,"Gandhi Med Coll, Bhopal",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1135,691(2),691(2),691(2),-,-,394(2),394(2),816(2),2186(1),3394(1),578(3),787(3),946(3)
,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",OBG,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,495(3),1432(3),1646(3),-,-,894(3),1903(3),2567(3),-,-,949(3),949(3),949(3)
,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,195(2),370(2),563(2),-,-,487(5),649(5),791(5),3667(1),-,498(3),498(3),950(3)
,AIQ,OBC,Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,956(2),1498(2),1498(2),-,-,1005(2),1514(2),1514(2),-,-,560(2),889(2),955(2)
,AIQ,OBC,Delhi,"VMMC, Delhi",ORTHOPAEDICS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,1016(2),1016(2),1016(2),-,-,3032(2),3032(2),3032(2),-,-,956(2),956(2),956(2)
,AIQ,GEN,Rajasthan,"RNT, Udaipur",GENERAL MEDICINE,"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,1186(4),1186(4),1186(4),-,-,1125(7),1302(7),1500(7),-,-,609(2),946(2),960(2)
,AIQ,SC,West Bengal,"Govt. Med College, Kolkata",DERMATOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",2668,-,-,-,-,-,1155(1),1155(1),1155(1),-,-,971(1),971(1),971(1)
,DNB Post MBBS,GEN,Kerala,"Aster Medcity, Kochi",DNBRADIO DIAGNOSIS,"₹1,25,000","₹57,876",0,₹0,500,1508(2),2421(2),2421(2),-,-,1492(2),1492(2),1492(2),-,-,882(2),972(2),972(2)
,AIQ,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",RADIO DIAGNOSIS,"₹30,000*","₹60,823",0*,₹0*,1030,847(1),1115(1),1115(1),-,-,-,-,-,-,-,755(1),974(1),974(1)
,AIQ,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,926(3),916(3),916(3),-,-,920(3),1168(3),1168(3),-,-,904(3),979(3),979(3)
,AIQ,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹30,000*","₹60,823",0*,₹0*,1030,1297(2),1297(2),1297(2),-,-,1165(1),1399(1),1399(1),-,-,982(2),982(2),982(2)
,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,952(4),962(4),962(4),-,-,794(4),1272(4),1569(4),-,-,686(4),988(4),988(4)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL SURGERY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,977(3),1344(3),1403(3),-,-,823(1),900(1),900(1),-,-,732(4),989(4),989(4)
,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBGENERAL MEDICINE,"₹1,25,000","₹85,000*",0,₹0,550,2879(2),3268(2),3531(2),-,-,1483(2),2021(2),2021(2),-,-,963(2),993(2),993(2)
