Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,443(3),810(3),858(3),-,-,372(2),784(2),784(2),-,-,200(3),443(3),443(3)
,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,146(3),146(3),146(3),-,-,258(3),258(3),258(3),-,-,322(5),349(5),451(5)
,AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹15,000*","₹67,032",1,"₹20,00,000",4800,901(2),847(2),901(2),-,-,740(1),485(1),485(1),-,-,463(1),463(1),463(1)
,AIQ,EWS,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,378(1),378(1),378(1),-,-,552(2),552(2),1084(2),-,-,473(2),473(2),473(2)
,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,-,-,-,-,-,184(1),476(1),476(1)
,AIQ,SC,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,09,926*",0,₹0,967,3088(1),3088(1),3088(1),-,-,2866(1),2866(1),2866(1),-,-,477(1),477(1),477(1)
,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹92,000",0,₹0,737,766(6),1632(6),1632(6),-,-,861(6),738(6),890(6),-,-,475(6),484(6),484(6)
,DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,500(2),500(2),500(2),-,-,111(1),111(1),163(1),-,-,491(1),491(1),491(1)
,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,-,-,-,-,-,492(1),492(1),492(1)
,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,428(4),332(4),587(4),-,-,479(3),823(3),823(3),-,-,419(5),456(5),494(5)
,AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614,1788(3),1675(3),3343(3),-,-,1301(3),1405(3),1405(3),-,-,386(3),568(5),500(5)
,AIQ,GEN,Maharashtra,"BJMC, Pune",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296,33(1),33(1),33(1),-,-,814(2),1025(2),1025(2),-,-,387(2),506(2),506(2)
,AIQ,EWS,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,-,-,211(1),509(1),509(1)
,AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,1389(2),1389(2),1389(2),-,-,1298(2),2026(2),2026(2),-,-,526(2),526(2),526(2)
,AIQ,SC,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,2216(1),2216(1),2216(1),-,-,3683(1),3683(1),3683(1),-,-,528(1),528(1),528(1)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,483(4),483(4),483(4),-,-,550(5),580(5),825(5),-,-,529(6),529(6),529(6)
,AIQ,GEN,Karnataka,"Mysore Med Coll, Mysore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050,572(3),728(3),575(3),-,-,294(2),336(2),443(2),-,-,462(1),472(2),531(2)
,AIQ,GEN,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,466(13),478(13),478(13),787(1),2515(1),455(12),473(12),510(12),-,-,439(11),538(11),538(11)
,AIQ,OBC,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,245(3),253(3),406(3),-,-,314(3),314(3),345(3),-,-,464(3),543(3),543(3)
,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,"₹48,226*","₹1,12,054*",0,₹0,2424,388(2),418(2),418(2),-,-,295(1),538(1),538(1),-,-,392(2),392(2),549(2)
,AIQ,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,5966(1),5966(1),7926(1),-,-,6438(1),6438(1),5995(1),-,-,552(1),552(1),552(1)
,AIQ,GEN,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,321(1),321(1),321(1),-,-,202(3),494(3),494(3),-,-,118(2),118(2),555(2)
,AIQ,OBC,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,755(2),1061(2),1061(2),-,-,921(1),921(1),921(1),-,-,301(1),560(1),560(1)
,DU,GEN,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",714,-,-,-,-,-,164(1),164(1),164(1),-,-,-,562(2),562(2)
,DNB Post MBBS,GEN,Maharashtra,"PD Hinduja, Mumbai",DNBRADIO DIAGNOSIS,"₹1,25,000","₹89,700",0,₹0,400,578(2),731(2),989(2),-,-,425(2),712(2),712(2),-,-,612(2),773(2),565(2)
,AIQ,GEN,Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,"₹1,75,000*","₹96,951",1*,"₹40,00,000*",1257,525(2),770(2),770(2),-,-,-,-,-,-,-,521(2),567(2),567(2)
,AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,351(4),351(4),351(4),-,-,115(4),115(4),435(4),1490(1),-,80(2),80(2),571(2)
,AIQ,OBC,Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,808(1),1108(1),1108(1),-,-,577(1),577(1),577(1)
,AIQ,GEN,Maharashtra,"Govt Med Coll, Akola",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1050,958(1),1605(1),2722(1),-,-,-,-,-,-,-,585(1),585(1),585(1)
,AIQ,OBC,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,725(2),945(2),945(2),-,-,889(2),1005(2),1005(2),-,-,437(2),588(2),588(2)
,AIQ,GEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",822,317(1),732(1),893(1),-,-,525(1),525(1),525(1),-,-,553(1),592(1),592(1)
,AIQ,OBC,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,630(1),793(1),813(1),-,-,259(1),595(1),595(1)
,AIQ,OBC,Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,"₹54,700*","₹1,14,975*",0,₹0,1269,759(2),1140(2),1536(2),-,-,689(2),819(2),819(2),-,-,395(1),596(1),596(1)
,AIQ,GEN,Delhi,"IndianRailwayPGInst,New Delhi",GENERAL MEDICINE,"₹16,200*","₹1,10,533",0*,₹0*,Info Not Available,-,-,-,-,-,-,-,-,-,-,-,597(1),597(1)
,AIQ,GEN,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,379(4),379(4),379(4),-,-,94(1),94(1),94(1),-,-,399(3),606(3),606(3)
,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,20(1),140(1),140(1),-,-,481(1),750(1),750(1),-,-,102(1),610(1),610(1)
,AIQ,SC,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,221(1),221(1),221(1),-,-,785(2),785(2),785(2),-,-,615(1),615(1),615(1)
,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PSYCHIATRY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,2063(3),2736(3),3302(3),-,-,618(1),618(1),618(1)
,AIQ,OBC,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,1406(4),1427(4),1427(4),-,-,1646(5),1810(5),2238(5),5387(1),-,620(4),620(4),620(4)
,AIQ,GEN,Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050,656(5),1178(5),1552(5),-,-,593(5),1048(5),1048(5),-,-,624(4),624(4),624(4)
