Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,OBC,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,1390(1),1825(1),2067(1),-,-,1584(1),1584(1),1584(1),-,-,1029(1),1029(1),1029(1)
,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,547(2),648(2),648(2),-,-,1172(3),1172(3),1172(3),-,-,1042(3),1042(3),1042(3)
,AIQ,GEN,West Bengal,"Nilratan Sircar, Kolkata",GENERAL MEDICINE,"₹12,000*","₹61,634",3*,"₹30,00,000*",1920,701(3),802(3),955(3),-,-,480(2),566(2),757(2),-,-,1093(2),1093(2),1043(2)
,AIQ,OBC,Rajasthan,"SP Med Coll, Bikaner",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",1570,1794(1),1961(1),1961(1),-,-,1215(1),1215(1),1215(1),-,-,1063(1),1044(1),1044(1)
,AIQ,OBC,Rajasthan,"RNT, Udaipur",DERMATOLOGY,"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,2316(2),2690(2),2873(2),-,-,1729(1),1729(1),1729(1),-,-,1045(1),1045(1),1045(1)
,AIQ,EWS,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,-,-,-,-,-,-,-,-,-,-,454(1),1051(1),1051(1)
,AIQ,EWS,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,1224(3),1224(3),1224(3),-,-,1102(3),1102(3),1529(3),-,-,1054(3),1054(3),1054(3)
,AIQ,GEN,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",GENERAL MEDICINE,"₹2,50,000*","₹1,15,506*",2*,"₹10,00,000*",470,-,-,-,-,-,1520(1),1882(1),1905(1),-,-,1062(1),1062(1),1062(1)
,AIQ,OBC,Rajasthan,"RNT, Udaipur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,1423(1),1423(1),1423(1),-,-,-,-,-,-,-,1006(1),1063(1),1063(1)
,AIQ,ST,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,4554(1),4554(1),4554(1),-,-,-,-,-,-,-,1071(1),1071(1),1071(1)
,AIQ,OBC,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹15,000*","₹67,032",1,"₹20,00,000",4800,410(1),410(1),410(1),-,-,526(2),526(2),883(2),-,-,830(2),919(2),1072(2)
,AIQ,EWS,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹15,000*","₹67,032",1,"₹20,00,000",1200,1063(1),475(1),475(1),-,-,1098(1),1098(1),1165(1),-,-,974(1),1074(1),1074(1)
,AIQ,GEN,Delhi,"ESI, Basaidarpur, Delhi",GENERAL MEDICINE,"₹2,50,000*","₹1,30,846*",2*,"₹10,00,000*",600,-,-,-,-,-,-,-,-,-,-,690(2),1076(3),1076(3)
,AIQ,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,570(1),665(1),665(1),-,-,554(1),554(1),554(1),-,-,791(2),1081(2),1081(2)
,AIQ,GEN,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,750(6),953(6),953(6),-,-,734(7),1106(7),1106(7),-,-,602(6),853(6),1083(6)
,AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",GENERAL MEDICINE,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,-,-,-,-,-,641(1),829(1),1305(1),-,-,598(1),1087(1),1087(1)
,AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,"₹16,300*","₹1,25,000*",0,₹0,594,2223(1),2223(1),2223(1),-,-,451(1),451(1),451(1),-,-,922(1),1088(1),1088(1)
,AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614,440(8),657(8),657(8),-,-,377(8),410(8),439(8),-,-,486(8),861(10),1091(10)
,AIQ,GEN,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",940,846(2),846(2),846(2),-,-,524(2),524(2),524(2),-,-,431(4),733(4),1094(4)
,DU,OBC,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,459(2),459(2),459(2),-,-,1049(3),1049(3),1049(3),-,-,1096(2),1096(2),1096(2)
,AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,924(1),1314(1),1314(1),-,-,1055(1),1097(1),1097(1)
,AIQ,EWS,Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1177,1453(1),1453(1),1453(1),-,-,-,-,-,-,-,639(1),1364(1),1098(1)
,AIQ,OBC,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,733(2),1189(2),1431(2),3440(1),-,390(4),1079(4),1079(4),-,-,744(3),1104(3),1104(3)
,AIQ,GEN,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,09,926*",0,₹0,967,-,-,-,-,-,-,-,-,-,-,394(1),417(1),1105(1)
,AIQ,EWS,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,-,-,-,-,1107(1),1107(1),1107(1)
,AIQ,OBC,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,"₹15,000*","₹67,032",1,"₹20,00,000",4800,1132(3),1132(3),1140(3),-,-,1285(4),1380(4),1983(4),7036(1),-,715(4),932(4),1109(4)
,AIQ,OBC,Gujarat,"MP Shah, Jamnagar",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,1738(1),2160(1),2702(1),3981(1),-,1446(1),1723(1),1878(1),-,-,1123(1),1123(1),1123(1)
,AIQ,GEN,West Bengal,"Chittaranjan CancerInst,Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹1,15,506",1*,"₹10,00,000*",670,-,-,-,-,-,1297(1),1297(1),1297(1),-,-,1127(1),1127(1),1127(1)
,AIQ,GEN,Karnataka,"Shri Atal Bihari Vajpayee, BLR",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",956,-,-,-,-,-,-,-,-,-,-,-,1132(1),1132(1)
,AIQ,GEN,Andhra Pradesh,"SV Med Coll, Tirupati",RADIO DIAGNOSIS,"₹30,000*","₹60,823",0*,₹0*,940,-,-,-,-,-,-,-,-,-,-,887(2),976(2),1138(2)
,AIQ,OBC,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,672(2),672(2),843(2),-,-,731(2),790(2),790(2),-,-,485(2),1140(2),1140(2)
,AIQ,GEN,Punjab,"Govt Med Coll, Amritsar",RADIO DIAGNOSIS,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",951,498(1),939(1),939(1),-,-,-,-,-,-,-,747(2),841(2),1144(2)
,AIQ,OBC,Bihar,"IGIMS, Patna",GENERAL MEDICINE,"₹1,60,000*","₹1,22,878*",0,₹0,1170,2300(1),1541(1),1541(1),-,-,1112(1),1112(1),1112(1),-,-,1145(1),1145(1),1145(1)
,AIQ,GEN,Kerala,"TD Med Coll, Allepey",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,1070(1),1207(1),1207(1),-,-,482(1),482(1),1151(1)
,AIQ,GEN,Himachal Pradesh,"RPG, Tanda",RADIO DIAGNOSIS,"₹24,000*","₹40,000*",2*,"₹40,00,000*",828,984(1),1191(1),2110(1),-,-,768(1),768(1),931(1),-,-,1153(1),1153(1),1153(1)
,AIQ,SC,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹24,000*","₹40,000*",2*,"₹40,00,000*",1031,6451(1),6451(1),6451(1),-,-,6870(1),6870(1),7737(1),-,-,4263(1),4263(1),1154(1)
,DU,GEN,Delhi,"IndianRailwayPGInst,New Delhi",GENERAL MEDICINE,"₹16,200*","₹1,10,533",0*,₹0*,Info Not Available,-,-,-,-,-,-,-,-,-,-,-,1156(1),1156(1)
,AIQ,GEN,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,528(1),687(1),928(1),2911(1),3459(1),-,-,-,-,-,425(3),765(3),1161(3)
,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",ORTHOPAEDICS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1086(5),1086(5),2448(5),6458(1),-,1097(4),1844(4),2918(4),-,-,1167(3),1167(3),1167(3)
