Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,EWS,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,112(1),112(1),112(1),-,-,66(1),264(1),405(1),-,-,99(1),99(1),99(1)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,119(3),157(3),170(3),-,-,142(4),142(4),142(4),-,-,83(3),107(3),107(3)
,AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,41(4),41(4),41(4),-,-,31(3),31(3),31(3),-,-,60(5),108(5),108(5)
,AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,545(2),982(2),982(2),-,-,563(3),1341(3),1434(3),-,-,114(1),114(1),114(1)
,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,75(1),84(1),84(1),-,-,53(1),53(1),53(1),-,-,108(1),116(1),116(1)
,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,93(4),93(4),93(4),-,-,83(6),93(6),93(6),-,-,74(5),74(5),119(5)
,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL SURGERY,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,199(3),199(3),332(3),-,-,315(3),315(3),857(3),-,-,123(2),123(2),123(2)
,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,94(4),120(4),120(4),-,-,106(4),106(4),106(4),-,-,119(3),119(3),125(3)
,AIQ,EWS,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,476(1),476(1),476(1),-,-,-,-,-,-,-,127(1),127(1),127(1)
,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,138(5),138(5),138(5),-,-,148(4),643(4),642(4),-,-,129(3),129(3),129(3)
,DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,162(3),162(3),162(3),-,-,165(4),165(4),126(4),-,-,141(4),141(4),141(4)
,AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,108(1),108(1),108(1),-,-,142(2),142(2),142(2)
,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,314(2),324(2),324(2),-,-,183(1),183(1),183(1),-,-,133(2),143(2),143(2)
,AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,415(1),415(1),415(1),-,-,491(1),1085(1),1045(1),-,-,597(1),695(1),150(1)
,AIQ,SC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,240(1),240(1),240(1),-,-,1950(1),1950(1),1950(1),-,-,157(1),157(1),157(1)
,AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹34,500*","₹1,09,926*",0,₹0,967,259(1),259(1),259(1),-,-,216(1),216(1),216(1),-,-,107(1),161(1),161(1)
,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,205(1),205(1),205(1),-,-,163(1),163(1),163(1)
,AIQ,OBC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,362(2),362(2),362(2),-,-,419(2),419(2),453(2),-,-,151(2),151(2),174(3)
,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,269(2),269(2),269(2),-,-,173(3),173(3),173(3),-,-,178(2),178(2),178(2)
,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,2424,159(2),159(2),159(2),-,-,102(1),102(1),102(1),-,-,179(2),179(2),179(2)
,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,"₹48,226*","₹1,12,054*",0,₹0,2424,160(4),195(4),195(4),-,-,178(3),260(3),260(3),-,-,176(5),176(5),181(5)
,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,219(4),280(4),280(4),-,-,130(3),134(3),134(3),-,-,145(3),187(3),187(3)
,AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,505(1),851(1),686(1),-,-,494(1),600(1),600(1),-,-,189(1),189(1),189(1)
,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,2424,470(2),481(2),481(2),-,-,228(1),228(1),228(1),-,-,190(1),190(1),190(1)
,AIQ,GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,-,-,-,-,-,-,-,-,-,-,191(1),191(1),191(1)
,AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,220(3),220(3),220(3),-,-,792(3),792(3),792(3),-,-,195(3),195(3),195(3)
,AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,2424,473(1),577(1),577(1),-,-,279(1),279(1),279(1),-,-,196(1),196(1),196(1)
,AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,426(1),426(1),426(1),-,-,433(1),433(1),433(1),-,-,197(1),197(1),197(1)
,AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,165(3),165(3),165(3),-,-,201(3),201(3),545(3),-,-,201(2),201(2),201(2)
,AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,504(1),762(1),762(1),-,-,256(2),256(2),256(2),-,-,207(1),207(1),207(1)
,AIQ,EWS,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,366(1),366(1),366(1),-,-,405(1),405(1),585(1),-,-,208(1),208(1),208(1)
,AIQ,GEN,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,"₹1,22,522*","₹80,000*",1*,"₹50,00,000*",1160,-,-,-,-,-,-,-,-,-,-,212(1),212(1),212(1)
,AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,442(1),442(1),442(1),-,-,806(1),806(1),806(1),-,-,223(1),223(1),223(1)
