Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,20,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,21,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,22,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",4800
,1,23,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,24,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,25,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,26,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,27,Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,GEN,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106
,1,28,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,29,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,30,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,31,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,OBC,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498
,1,32,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,AIQ,GEN,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609
,1,33,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,34,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,35,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,36,Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,37,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,38,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,39,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"₹34,500*","₹1,09,926*",0,₹0,967
,1,40,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,41,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,42,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,44,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,45,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,46,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,47,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,1,48,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,49,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,50,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,51,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
