Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,286,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,287,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,288,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,289,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,290,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,OBC,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,291,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,292,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,AIQ,GEN,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614
,1,293,Delhi,"VMMC, Delhi",DERMATOLOGY,AIQ,OBC,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,294,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300
,1,295,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844
,1,296,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,297,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,AIQ,GEN,"₹16,300*","₹1,25,000*",0,₹0,594
,1,298,Maharashtra,"BJMC, Pune",DERMATOLOGY,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296
,1,299,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",940
,1,300,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866
,1,301,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,302,Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,303,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,AIQ,GEN,"₹11,000*","₹80,000",0*,₹0*,1200
,1,304,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,IP,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,305,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,306,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844
,1,307,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661
,1,308,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,309,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300
,1,310,Rajasthan,"SP Med Coll, Bikaner",RADIO DIAGNOSIS,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",1570
,1,311,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,OBC,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,313,Kerala,"Medical College, Trivandrum",GENERAL SURGERY,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,314,Delhi,"MAMC, Delhi",GENERAL SURGERY,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,315,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,AIQ,GEN,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500
