Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,178,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,179,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,AIQ,GEN,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,180,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,IP,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,181,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300
,1,182,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,OBC,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,183,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,184,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,186,Kerala,"Medical College, Trivandrum",DERMATOLOGY,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,187,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000
,1,188,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300
,1,189,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400
,1,190,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,AIQ,OBC,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,191,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,AIQ,GEN,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748
,1,192,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,193,Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,GEN,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106
,1,194,Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,GEN,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106
,1,195,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,196,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,AIQ,EWS,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,197,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,EWS,"₹34,500*","₹1,09,926*",0,₹0,967
,1,198,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300
,1,199,Maharashtra,"Seth GS, Mumbai",PAEDIATRICS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,200,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,201,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300
,1,202,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",4800
,1,203,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,204,Assam,"Silchar Med Coll, Silchar",GENERAL MEDICINE,AIQ,GEN,"₹25,900*","₹55,200*",2*,"₹20,00,000*",1256
,1,206,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,207,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,OBC,"₹34,500*","₹1,09,926*",0,₹0,967
,1,208,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,EWS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,209,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,1,210,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,211,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,EWS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844
