"Rangaraya Medical College, KakinadaNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds1450Local DistinctionAU Local"
"Anugrah Narayan Magadh Medical College, GayaAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds425"
"Jawaharlal Nehru Medical College, BhagalpurAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds800"
"Narayan Medical College & Hospital, SasaramVeer Kunwar Singh University,BiharTypePrivate Institute (State University)ManagementState AuthorityBeds650"
"Government Medical College, ChandigarhPunjab UniversityTypeGovernment InstituteManagementState AuthorityBeds967"
"Postgraduate Institute of Medical Education & Research, ChandigarhStatutory Autonomous, ChandigarhTypeINI (Institute of National Importance)ManagementCentral AuthorityBedsInfo Not Available"
"Pt JNM Medical College, RaipurPt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurTypeGovernment InstituteManagementState AuthorityBeds1246"
"Chhattisgarh Institute of Medical Sciences, BilaspurPt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurTypeGovernment InstituteManagementState AuthorityBeds550"
"Shri Shankaracharya Institute of Medical Sciences, BhilaiPt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurTypePrivate Institute (State University)ManagementState AuthorityBeds896"
"Late Shri Baliram Kashyap Memorial NDMC Government Medical College, JagdalpurPt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurTypeGovernment InstituteManagementState AuthorityBeds500"
"Late Shri Lakhi Ram Agrawal Memorial Government Medical College, RaigarhPt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurTypeGovernment InstituteManagementState AuthorityBeds650"
"University College of Medical Sciences & GTB Hospital, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds1000"
"All India Institute of Medical Sciences, New DelhiStatutory Autonomous, AIIMSTypeINI (Institute of National Importance)ManagementCentral AuthorityBedsInfo Not Available"
"National Institute of Health and Family Welfare, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBedsInfo Not Available"
"Maulana Azad Medical College, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds2800"
"VP Chest Institute of Medical Sciences, DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds128"
"Army Hospital Research & Referral, New DelhiDelhi UniversityTypeAFMSManagementArmed ForcesBeds995"
"Atal Bihari Vajpayee Institute of Medical Sciences and Dr RML Hospital, New Delhi (Prev. PGIMER Dr RML Hospital, New Delhi)Guru Gobind Singh Indraprastha UniversityTypeGovernment InstituteManagementState AuthorityBeds1626"
"Lady Hardinge Medical College, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds877"
"Vardhman Mahavir Medical College & Safdarjung Hospital, DelhiGuru Gobind Singh Indraprastha UniversityTypeGovernment InstituteManagementState AuthorityBeds1550"
"Rajan Babu TB Institute, DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds700"
"Institute of Nuclear Medicine & Allied Sciences, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBedsInfo Not Available"
"Institute of Human Behaviour and Allied Sciences, DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds260"
"Kasturba Hospital, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds450"
"Central Health Education Bureau, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBedsInfo Not Available"
"Hindu Rao Hospital, DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds832"
"Hamdard Institute of Medical Sciences & Research, New DelhiUniversity of Jamia Hamdard (Hamdard University)TypeDeemedManagementDeemed to be UniversityBeds710"
"North Delhi Muncipal Corporation Medical College, DelhiGuru Gobind Singh Indraprastha UniversityTypeGovernment InstituteManagementState AuthorityBeds980"
"ESI-PGIMSR, ESI-Hospital, Basaidarapur, New DelhiGuru Gobind Singh Indraprastha UniversityTypeGovernment InstituteManagementState AuthorityBeds600"
"GB Pant Institute of Postgraduate Medical Education and Research, New DelhiDelhi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds714"
"Goa Medical College, PanajiGoa UniversityTypeGovernment InstituteManagementState AuthorityBeds1160"
"MP Shah Medical College, JamnagarSaurashtra UniversityTypeGovernment InstituteManagementState AuthorityBeds1250"
"Pramukhswami Medical College, KarmsadSardar Patel UniversityTypePrivate Institute (State University)ManagementState AuthorityBeds1000"
"Government Medical College, SuratVeer Narmad South Gujarat UniversityTypeGovernment InstituteManagementState AuthorityBeds1150"
"BJ Medical College, AhmedabadGujarat UniversityTypeGovernment InstituteManagementState AuthorityBeds1557"
"CU Shah Medical College, Surendra NagarSaurashtra UniversityTypePrivate Institute (State University)ManagementState AuthorityBeds590"
"Pandit Deendayal Upadhyay Medical College, RajkotSaurashtra UniversityTypeGovernment InstituteManagementState AuthorityBeds750"
"Government Medical College, BhavnagarMaharaja Krishnakumarsinghji Bhavnagar UniversityTypeGovernment InstituteManagementState AuthorityBeds720"
"Medical College, BarodaMS University of BarodaTypeGovernment InstituteManagementState AuthorityBeds1250"
"Surat Municipal Institute of Medical Education & Research, SuratVeer Narmad South Gujarat UniversityTypeState Society/PPP (State University)ManagementState AuthorityBeds750"
"Smt NHL Municipal Medical College, AhmedabadGujarat UniversityTypeState Society/PPP (State University)ManagementState AuthorityBeds2220"
"Gujarat Adani Institute of Medical Sciences, BhujKrantiguru Shyamji Krishna Verma Kachchh University, BhujTypePrivate Institute (State University)ManagementState AuthorityBeds750"
"GMERS Medical College, Sola, AhmedabadGujarat UniversityTypeState Society/PPP (State University)ManagementState AuthorityBeds900"
"GMERS Medical College, GandhinagarGujarat UniversityTypeState Society/PPP (State University)ManagementState AuthorityBeds980"
"GMERS Medical College, Gotri, VadodaraMS University of BarodaTypeState Society/PPP (State University)ManagementState AuthorityBeds730"
"GCS Medical College, AhmedabadGujarat UniversityTypePrivate Institute (State University)ManagementState AuthorityBeds750"
"Narendra Modi Medical College, Ahmedabad (Prev. Ahmedabad Municipal Coporation Medical Education Trust Medical College)Gujarat UniversityTypeState Society/PPP (State University)ManagementState AuthorityBeds1050"
"SBKS Medical Institute & Research Centre, VadodaraSumandeep Vidyapeeth University (Deemed), VadodraTypeDeemedManagementDeemed to be UniversityBeds1340"
"Pt BD Sharma Postgraduate Institute of Medical Sciences, RohtakPT. B.D. Sharma University of Health Sciences, RohtakTypeGovernment InstituteManagementState AuthorityBeds2080"
"Maharishi Markandeshwar Institute of Medical Sciences & Research, Mullana, AmbalaMaharishi Marakandeshwar University (Deemed), AmbalaTypeDeemedManagementDeemed to be UniversityBeds940"
"Shaheed Hasan Khan Mewati Government Medical College, NalharPT. B.D. Sharma University of Health Sciences, RohtakTypeGovernment InstituteManagementState AuthorityBeds500"
"Faculty of Medicine and Health Sciences, Gurgaon (Prev. SGGST Medical College & R Centre, Gurgaon)ShreeGuru Gobind Singh Tricentenary University, GurgaonTypeState Private UniversityManagementState AuthorityBeds720"
"Maharaja Agrasen Medical College, AgrohaPT. B.D. Sharma University of Health Sciences, RohtakTypePrivate Institute (State University)ManagementState AuthorityBeds705"
"Bhagat Phool Singh Government Medical College for Women, Sonepat (BPS Government Medical College for Women, Sonepat)PT. B.D. Sharma University of Health Sciences, RohtakTypeGovernment InstituteManagementState AuthorityBeds506"
"Command Hospital, ChandimandirPT. B.D. Sharma University of Health Sciences, RohtakTypeAFMSManagementArmed ForcesBeds658"
"Indira Gandhi Medical College, ShimlaHimachal Pradesh UniversityTypeGovernment InstituteManagementState AuthorityBeds1031"
"Dr Rajendra Prasad Government Medical College, TandaHimachal Pradesh UniversityTypeGovernment InstituteManagementState AuthorityBeds828"
"Maharishi Markandeshwar Medical College & Hospital, SolanMaharishi Marakandeshwar University, Kumarhatti, SolanTypeState Private UniversityManagementState AuthorityBeds720"
"Government Medical College, SrinagarKashmir UniversityTypeGovernment InstituteManagementState AuthorityBeds3120"
"Acharya Shri Chander College of Medical Sciences, JammuJammu UniversityTypePrivate Institute (State University)ManagementState AuthorityBeds507"
"Sher-I-Kashmir Institute of Medical Sciences, SrinagarSher E Kashmir Institute of Medical Sciences (Deemed University), SrinagarTypeGovernment InstituteManagementState AuthorityBeds1200"
"Government Medical College, JammuJammu UniversityTypeGovernment InstituteManagementState AuthorityBeds2663"
"MGM Medical College, JamshedpurKolhan University, ChaibasaTypeGovernment InstituteManagementState AuthorityBeds540"
"Rajendra Institute of Medical Sciences, RanchiRanchi UniversityTypeGovernment InstituteManagementState AuthorityBeds1754"
"Central Institute of Psychiatry, RanchiRanchi UniversityTypeGovernment InstituteManagementCentral AuthorityBeds643"
"Ranchi Institute of Neuro-Psychiatry and Allied Sciences, Kanke, RanchiRanchi UniversityTypeGovernment InstituteManagementState AuthorityBeds1620"
"Mysore Medical College and Research Institute, Mysore (Prev. Government Medical College, Mysore)Rajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds1050"
"Kasturba Medical College, ManipalManipal Academy of Higher Education (Deemed University), ManipalTypeDeemedManagementDeemed to be UniversityBeds2032"
"Vijaynagar Institute of Medical Sciences, BellaryRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds1295"
"SDM College of Medical Sciences & Hospital, Sattur, DharwadRajiv Gandhi University of Health Sciences, KarnatakaTypeState Private UniversityManagementState AuthorityBeds670"
"Bangalore Medical College and Research Institute, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds1993"
"Kasturba Medical College, MangaloreManipal Academy of Higher Education (Deemed University), ManipalTypeDeemedManagementDeemed to be UniversityBeds1290"
"Command Hospital Air Force, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeAFMSManagementArmed ForcesBeds716"
"Jawaharlal Nehru Medical College, BelgaumKLE Academy of Higher Education & Research (Deemed), BelgaumTypeDeemedManagementDeemed to be UniversityBeds2400"
"Yenepoya Medical College, MangaloreYenepoya University (Deemed), MangaloreTypeDeemedManagementDeemed to be UniversityBeds910"
"Shri BM Patil Medical College, Hospital & Research Centre, VijayapuraBLDE University, BijapurTypeDeemedManagementDeemed to be UniversityBeds1130"
"Karnataka Institute of Medical Sciences, HubballiRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds1200"
"Sri Devaraj URS Medical College, KolarSri Devaraj Urs Academy of Higher Education and Research (Deemed University), KolarTypeDeemedManagementDeemed to be UniversityBeds1100"
"MS Ramaiah Medical College, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeState Private UniversityManagementState AuthorityBeds1331"
"Sri Siddhartha Medical College, TumkurSri Siddhartha Academy of Higher Education, TumkurTypeDeemedManagementDeemed to be UniversityBeds960"
"Father Mullers Medical College, MangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1250"
"Dr BR Ambedkar Medical College, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds570"
"Mahadevappa Rampure Medical College, GulbargaRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1038"
"St John's Medical College, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1720"
"JJM Medical College, DavangereRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1930"
"JSS Medical College, MysoreJSS University, MysoreTypeDeemedManagementDeemed to be UniversityBeds2060"
"Kempegowda Institute of Medical Sciences, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1100"
"Rajarajeswari Medical College & Hospital, BangaloreDr. MGR Educational and Research Institute (Deemed University), ChennaiTypeDeemedManagementDeemed to be UniversityBeds1460"
"Adichunchanagiri Institute of Medical Sciences, BellurRajiv Gandhi University of Health Sciences, KarnatakaTypeState Private UniversityManagementState AuthorityBeds1120"
"Al-Ameen Medical College, BijapurRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1040"
"Raichur Institute of Medical Sciences, RaichurRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds500"
"Indira Gandhi Institute of Child Health, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds500"
"KS Hegde Medical Academy, MangaloreNitte University (Deemed), MangaloreTypeDeemedManagementDeemed to be UniversityBeds1000"
"National Institute of Mental Health and Neuro Sciences, BangaloreNational Institute of Mental Health & Neuro Sciences (Deemed University), BangaloreTypeINI (Institute of National Importance)ManagementCentral AuthorityBedsInfo Not Available"
"S Nijalingappa Medical College & HSK Hospital & Research Centre, BagalkotRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1140"
"Institute of Aerospace Medicine Indian Air Force, BangaluruRajiv Gandhi University of Health Sciences, KarnatakaTypeAFMSManagementArmed ForcesBedsInfo Not Available"
"Vydehi Institute of Medical Sciences & Research Centre, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1600"
"AJ Institute of Medical Sciences & Research Centre, MangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds910"
"Navodaya Medical College, RaichurRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1110"
"KVG Medical College, SulliaRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds682"
"MVJ Medical College and Research Hospital, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds833"
"Government Medical College, Kozhikode, CalicutKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds3025"
"Medical College, ThiruvananthapuramKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds2126"
"Government Medical College, KottayamKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds2094"
"Government Medical College, ThrissurKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds1400"
"TD Medical College, Alleppey (Allappuzha)Kerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds1050"
"Sree Chitra Thirunal Institute for Medical Science and Technology, ThiruvananthapuramStatutory Autonomous,KeralaTypeINI (Institute of National Importance)ManagementCentral AuthorityBedsInfo Not Available"
"Government Medical College, Pariyaram, Kannur (Prev. Academy of Medical Sciences, Pariyaram, Kannur)Kerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds1752"
"Pushpagiri Institute of Medical Sciences and Research Centre, TiruvallaKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds955"
"Karuna Medical College, PalakkadKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds500"
"Malabar Medical College, Kozhikode, CalicutKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds720"
"KMCT Medical College, Kozhikode, CalicutKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds790"
"Believers Church Medical College Hospital, Thiruvalla, KeralaKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds750"
"Travancore Medical College, KollamKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds750"
"Jubilee Mission Medical College & Research Institute, ThrissurKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds1450"
"Sree Gokulam Medical College Trust & Research Foundation, TrivandrumKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds760"
"Sree Narayana Institute of Medical Sciences, Chalakka, ErnakulamKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds590"
"Amala Institute of Medical Sciences, ThrissurKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds640"
"Amrita School of Medicine, Elamkara, KochiAmrita Vishwa Vidyapeetham University (Deemed), CoimbatoreTypeDeemedManagementDeemed to be UniversityBeds1110"
"Malankara Orthodox Syrian Church Medical College, KolencheryKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds1110"
"Azeezia Institute of Medical Science, Meeyannoor, KollamKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds540"
"MES Medical College, Perinthalmanna, MalappuramKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds680"
"Kannur Medical College, KannurKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds700"
"Government Medical College, ErnakulamKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds700"
"Regional Cancer Centre, ThiruvanthapuramKerala University of Health Sciences, ThrissurTypeGovernment InstituteManagementState AuthorityBeds432"
"Dr Somervel Memorial CSI Hospital & Medical College, Karakonam, ThiruvananthapuramKerala University of Health Sciences, ThrissurTypePrivate Institute (State University)ManagementState AuthorityBeds695"
"Gandhi Medical College, BhopalMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds1135"
"MGM Medical College, IndoreMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds1300"
"Gajra Raja Medical College, GwaliorMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds1100"
"Peoples College of Medical Sciences & Research Centre, Bhanpur, BhopalPeoples University, BhopalTypeState Private UniversityManagementState AuthorityBeds1150"
"Netaji Subhash Chandra Bose Medical College, JabalpurMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds1150"
"Shyam Shah Medical College, RewaMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds1140"
"Kidwai Memorial Institute of Oncology, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds680"
"Akash Institute of Medical Sciences & Research Centre, Devanhalli, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds760"
"Shridevi Institute of Medical Sciences & Research Hospital, TumkurRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds750"
"Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, GadagRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBedsInfo Not Available"
"Belagavi Institute of Medical Sciences, BelagaviRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds1000"
"The Oxford Medical College, Hospital & Research Centre, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds770"
"Shimoga Institute of Medical Sciences, ShimogaRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds950"
"Hassan Institute of Medical Sciences, HassanRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBedsInfo Not Available"
"SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest Diseases, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds470"
"Mandya Institute of Medical Sciences, MandyaRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds910"
"Srinivas Institute of Medical Research Centre, SrinivasnagarSrinivas University, MangaloreTypeState Private UniversityManagementState AuthorityBeds660"
"BGS Global Institute of Medical Sciences, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds766"
"Basaveswara Medical College and Hospital, ChitradurgaRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds500"
"Dharwad Institute of Mental Health and Neuro Sciences, DharwadRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds375"
"Sapthagiri Institute of Medical Sciences & Research Centre, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeState Private UniversityManagementState AuthorityBeds500"
"Khaja Bandanawaz University - Faculty of Medical Sciences, GulbargaRajiv Gandhi University of Health Sciences, KarnatakaTypeState Private UniversityManagementState AuthorityBeds833"
"SS Institute of Medical Sciences & Research Centre, DavangereRajiv Gandhi University of Health Sciences, KarnatakaTypePrivate Institute (State University)ManagementState AuthorityBeds1190"
"Bidar Institute of Medical Sciences, BidarRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds500"
"Sanjay Gandhi Institute of Trauma and Orthopaedics, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds180"
"Employees State Insurance Corporation Medical College, BangaloreRajiv Gandhi University of Health Sciences, KarnatakaTypeGovernment InstituteManagementState AuthorityBeds530"
"Bundelkhand Medical College, SagarMadhya Pradesh Medical Science University, JabalpurTypeGovernment InstituteManagementState AuthorityBeds750"
"Chirayu Medical College and Hospital, Bairagarh, BhopalMadhya Pradesh Medical Science University, JabalpurTypePrivate Institute (State University)ManagementState AuthorityBeds912"
"LN Medical College and Research Centre, BhopalLNCT University, BhopalTypeState Private UniversityManagementState AuthorityBeds750"
"Index Medical College Hospital & Research Centre, IndoreMalwanchal University, IndoreTypeState Private UniversityManagementState AuthorityBeds1299"
