State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,500
,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,1450
,Kerala,"RCC, Thiruvananthapuram",ANAESTHESIOLOGY,AIQ,"₹3,00,000*","₹57,876",1*,"₹50,00,000*",432
,Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,AIQ,"₹5,000*","₹1,09,926",1*,"₹20,00,000*",1074
,West Bengal,"RG Kar Med Coll, Kolkata",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1663
,Uttar Pradesh,"SN Med Coll, Agra",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",976
,Andhra Pradesh,"SV Med Coll, Tirupati",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,940
,Uttar Pradesh,"SGPGI, Lucknow",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609
,Rajasthan,"SP Med Coll, Bikaner",ANAESTHESIOLOGY,AIQ,"₹14,093*","₹87,216*",2,"₹50,00,000",1570
,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106
,Maharashtra,"Seth GS, Mumbai",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",500
,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,AIQ,"₹11,000*","₹80,000",0*,₹0*,1200
