State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Uttar Pradesh,"IMS(BHU), Varanasi",DA,AIQ,"₹48,226*","₹1,12,054*",0,₹0,2424
,Delhi,"Hindu Rao, Delhi",DA,DU,"₹16,200*","₹1,32,336*",1,"₹20,00,000",832
,Maharashtra,"AFMC, Pune",DA,AFMS,"₹1,57,100*","₹93,559",5*,"₹59,00,000*",1082
,Gujarat,"Govt Med Coll, Bhavnagar",DCH,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",720
,Gujarat,"MP Shah, Jamnagar",DCH,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1250
,Gujarat,"PDU Med Coll, Rajkot",DCH,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",750
,Assam,"Assam Med Coll, Dibrugarh",DCH,AIQ,"₹27,300*","₹55,200*",2*,"₹15,00,000*",1365
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DCH,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",1050
,Assam,"Gauhati Med Coll, Guwahati",DCH,AIQ,"₹27,300*","₹55,200*",2*,"₹15,00,000*",2185
,Punjab,"Govt Med Coll, Amritsar",DCH,AIQ,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",951
,Uttar Pradesh,"GSVM Med Coll, Kanpur",DCH,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",2083
,Delhi,"Kasturba Hospital, Delhi",DCH,AIQ,"₹16,200*","₹1,26,927*",1,"₹20,00,000",450
,Uttar Pradesh,"LLRM Med Coll, Meerut",DCH,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",1090
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DCH,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,AIQ,"₹1,550","₹54,500",3*,"₹30,00,000*",540
,Uttar Pradesh,"MLB Med Coll, Jhansi",DCH,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",700
,Tamil Nadu,"Rajah Muthiah, Annamalainagar",DCH,AIQ,"₹20,000*","₹50,647*",2*,"₹20,00,000*",1400
,Uttar Pradesh,"SN Med Coll, Agra",DCH,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",976
,Delhi,"Kasturba Hospital, Delhi",DCH,DU,"₹16,200*","₹1,26,927*",1,"₹20,00,000",450
,Gujarat,"Govt Med Coll, Surat",DCP,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1150
,Assam,"Gauhati Med Coll, Guwahati",DCP,AIQ,"₹27,300*","₹55,200*",2*,"₹15,00,000*",2185
,Manipur,"RIMS, Imphal",DCP,AIQ,"₹5,000*","₹1,09,926",0*,₹0*,1074
,West Bengal,"School of Tropical Med,Kolkata",DCP,AIQ,"₹12,000*","₹61,634",2*,"₹20,00,000*",173
,Gujarat,"Govt Med Coll, Surat",DCM,AIQ,"₹20,000*","₹75,600",0*,₹0*,1150
,Gujarat,"Govt Med Coll, Bhavnagar",DDVL,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",720
,Gujarat,"PDU Med Coll, Rajkot",DDVL,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",750
,Jammu and Kashmir,"Govt Med Coll, Srinagar",DDVL,AIQ,"₹25,625*","₹63,240",0*,₹0*,3120
,Uttar Pradesh,"LLRM Med Coll, Meerut",DDVL,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",1090
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DDVL,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Delhi,"MAMC, Delhi",DDVL,AIQ,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,Tamil Nadu,"Rajah Muthiah, Annamalainagar",DDVL,AIQ,"₹20,000*","₹50,647*",2*,"₹20,00,000*",1400
,Uttar Pradesh,"SN Med Coll, Agra",DDVL,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",976
,Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AIQ,"₹25,000*","₹60,823",0*,₹0*,940
