State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Uttar Pradesh,"SN Med Coll, Agra",DTBCD,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",976
,West Bengal,"AIIHPH, Kolkata",EPIDEMIOLOGY,AIQ,"₹12,000*","₹1,15,506",0,₹0,Info Not Available
,Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,Gujarat,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",720
,Gujarat,"Govt Med Coll, Surat",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150
,Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250
,Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250
,Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750
,Gujarat,"GR Doshi & KM Mehta, Ahmedabad",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",400
,Kerala,"Govt of Med Sci, Pariyaram",ANAESTHESIOLOGY,AIQ,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752
,Odisha,"Acharya Harihar Cancer,Cuttack",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹73,042",2*,"₹55,09,464*",537
,Andhra Pradesh,"ACSR Medical College, Nellore",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,355
,Tripura,"Agartala Med Coll, Agartala",ANAESTHESIOLOGY,AIQ,"₹1,50,000*","₹55,200",1*,"₹50,00,000*",580
,Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,1030
,Bihar,"AN Magadh, Gaya",ANAESTHESIOLOGY,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",425
,Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,AIQ,"₹27,300*","₹55,200*",2*,"₹20,00,000*",1365
,Maharashtra,"BJMC, Pune",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296
,Karnataka,"Bangalore Med Coll, Bangalore",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,West Bengal,Bankura Sammilani Med Coll,ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1441
,Karnataka,"Belagavi IMS, Belagavi",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1000
,Madhya Pradesh,Bhopal Memorial Hosp & RC,ANAESTHESIOLOGY,AIQ,"₹1,27,420*","₹75,444",1*,"₹10,00,000*",350
,Karnataka,"Bidar IMS, Bidar",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",500
