Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,3,AIQ,ST,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,3300(1),3300(1),3300(1),-,-,-,-,-,-,-,411(1),411(1),411(1)
,1,AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,1,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,292(2),482(2),243(2),-,-,143(1),143(1),143(1),-,-,410(1),414(1),414(1)
,2,AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,0+1(VV),"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,292(2),482(2),243(2),-,-,143(1),143(1),143(1),-,-,410(1),414(1),414(1)
,3,AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,0+1(VV),"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,292(2),482(2),243(2),-,-,143(1),143(1),143(1),-,-,410(1),414(1),414(1)
,1,AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,753(1),1070(1),592(1),2099(1),-,422(1),422(1),422(1)
,2,AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,753(1),1070(1),592(1),2099(1),-,422(1),422(1),422(1)
,3,AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,753(1),1070(1),592(1),2099(1),-,422(1),422(1),422(1)
,1,AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,1,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,537(1),804(1),804(1),-,-,357(1),357(1),357(1),-,-,423(1),423(1),423(1)
,2,AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,0+1(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,537(1),804(1),804(1),-,-,357(1),357(1),357(1),-,-,423(1),423(1),423(1)
,3,AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,0+1(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,537(1),804(1),804(1),-,-,357(1),357(1),357(1),-,-,423(1),423(1),423(1)
,1,DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,5,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,211(5),211(5),211(5),-,-,103(4),103(4),111(4),-,-,427(5),427(5),427(5)
,2,DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,0+3(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,211(5),211(5),211(5),-,-,103(4),103(4),111(4),-,-,427(5),427(5),427(5)
,3,DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,0+3(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,211(5),211(5),211(5),-,-,103(4),103(4),111(4),-,-,427(5),427(5),427(5)
,1,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,3,"₹1,25,000","₹92,000",0,₹0,737,369(3),440(3),440(3),-,-,300(3),324(3),317(3),-,-,384(3),428(3),428(3)
,2,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,0+3(VV),"₹1,25,000","₹92,000",0,₹0,737,369(3),440(3),440(3),-,-,300(3),324(3),317(3),-,-,384(3),428(3),428(3)
,3,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,0+3(VV),"₹1,25,000","₹92,000",0,₹0,737,369(3),440(3),440(3),-,-,300(3),324(3),317(3),-,-,384(3),428(3),428(3)
,1,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,1,"₹48,226*","₹1,12,054*",0,₹0,2424,682(1),682(1),682(1),-,-,976(1),976(1),976(1),-,-,432(1),432(1),432(1)
,2,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,682(1),682(1),682(1),-,-,976(1),976(1),976(1),-,-,432(1),432(1),432(1)
,3,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,682(1),682(1),682(1),-,-,976(1),976(1),976(1),-,-,432(1),432(1),432(1)
,1,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,3,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,443(3),810(3),858(3),-,-,372(2),784(2),784(2),-,-,200(3),443(3),443(3)
,2,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,2+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,443(3),810(3),858(3),-,-,372(2),784(2),784(2),-,-,200(3),443(3),443(3)
,3,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,0+2(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,443(3),810(3),858(3),-,-,372(2),784(2),784(2),-,-,200(3),443(3),443(3)
,1,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,5,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,146(3),146(3),146(3),-,-,258(3),258(3),258(3),-,-,322(5),349(5),451(5)
,2,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,1+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,146(3),146(3),146(3),-,-,258(3),258(3),258(3),-,-,322(5),349(5),451(5)
,3,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,0+2(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,146(3),146(3),146(3),-,-,258(3),258(3),258(3),-,-,322(5),349(5),451(5)
,1,AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,1,"₹15,000*","₹67,032",1,"₹20,00,000",4800,901(2),847(2),901(2),-,-,740(1),485(1),485(1),-,-,463(1),463(1),463(1)
,2,AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,0+1(VV),"₹15,000*","₹67,032",1,"₹20,00,000",4800,901(2),847(2),901(2),-,-,740(1),485(1),485(1),-,-,463(1),463(1),463(1)
,3,AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,0+1(VV),"₹15,000*","₹67,032",1,"₹20,00,000",4800,901(2),847(2),901(2),-,-,740(1),485(1),485(1),-,-,463(1),463(1),463(1)
,1,AIQ,EWS,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,2,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,378(1),378(1),378(1),-,-,552(2),552(2),1084(2),-,-,473(2),473(2),473(2)
,2,AIQ,EWS,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,1,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,378(1),378(1),378(1),-,-,552(2),552(2),1084(2),-,-,473(2),473(2),473(2)
,1,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,-,-,-,-,-,184(1),476(1),476(1)
,2,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,-,-,-,-,-,184(1),476(1),476(1)
,3,AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,-,-,-,-,-,-,-,-,-,-,184(1),476(1),476(1)
,1,AIQ,SC,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,1,"₹34,500*","₹1,09,926*",0,₹0,967,3088(1),3088(1),3088(1),-,-,2866(1),2866(1),2866(1),-,-,477(1),477(1),477(1)
,1,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,6,"₹1,25,000","₹92,000",0,₹0,737,766(6),1632(6),1632(6),-,-,861(6),738(6),890(6),-,-,475(6),484(6),484(6)
,2,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,1+5(VV),"₹1,25,000","₹92,000",0,₹0,737,766(6),1632(6),1632(6),-,-,861(6),738(6),890(6),-,-,475(6),484(6),484(6)
,3,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,0+6(VV),"₹1,25,000","₹92,000",0,₹0,737,766(6),1632(6),1632(6),-,-,861(6),738(6),890(6),-,-,475(6),484(6),484(6)
