Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,3,AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,473(1),577(1),577(1),-,-,279(1),279(1),279(1),-,-,196(1),196(1),196(1)
,1,AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,1,"₹34,500*","₹1,09,926*",0,₹0,967,426(1),426(1),426(1),-,-,433(1),433(1),433(1),-,-,197(1),197(1),197(1)
,2,AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,426(1),426(1),426(1),-,-,433(1),433(1),433(1),-,-,197(1),197(1),197(1)
,3,AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,426(1),426(1),426(1),-,-,433(1),433(1),433(1),-,-,197(1),197(1),197(1)
,1,AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,2,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,165(3),165(3),165(3),-,-,201(3),201(3),545(3),-,-,201(2),201(2),201(2)
,2,AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,0+1(VV),"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,165(3),165(3),165(3),-,-,201(3),201(3),545(3),-,-,201(2),201(2),201(2)
,3,AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,0+1(VV),"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,165(3),165(3),165(3),-,-,201(3),201(3),545(3),-,-,201(2),201(2),201(2)
,1,AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,1,"₹34,500*","₹1,09,926*",0,₹0,967,504(1),762(1),762(1),-,-,256(2),256(2),256(2),-,-,207(1),207(1),207(1)
,2,AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,504(1),762(1),762(1),-,-,256(2),256(2),256(2),-,-,207(1),207(1),207(1)
,3,AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,504(1),762(1),762(1),-,-,256(2),256(2),256(2),-,-,207(1),207(1),207(1)
,1,AIQ,EWS,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,1,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,366(1),366(1),366(1),-,-,405(1),405(1),585(1),-,-,208(1),208(1),208(1)
,1,AIQ,GEN,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,1,"₹1,22,522*","₹80,000*",1*,"₹50,00,000*",1160,-,-,-,-,-,-,-,-,-,-,212(1),212(1),212(1)
,1,AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,442(1),442(1),442(1),-,-,806(1),806(1),806(1),-,-,223(1),223(1),223(1)
,1,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,1,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-,55(1),55(1),239(1)
,3,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,1,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-,55(1),55(1),239(1)
,1,AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,2,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,364(2),364(2),364(2),-,-,226(3),247(3),247(3),-,-,241(2),241(2),241(2)
,1,AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,2,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,166(2),166(2),166(2),-,-,234(1),234(1),333(1),-,-,249(2),249(2),249(2)
,2,AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,0+1(VV),"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,166(2),166(2),166(2),-,-,234(1),234(1),333(1),-,-,249(2),249(2),249(2)
,3,AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,0+1(VV),"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,166(2),166(2),166(2),-,-,234(1),234(1),333(1),-,-,249(2),249(2),249(2)
,1,AIQ,GEN,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,5,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,312(6),458(6),458(6),-,-,275(6),378(6),378(6),-,-,170(5),252(5),252(5)
,2,AIQ,GEN,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,1,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,312(6),458(6),458(6),-,-,275(6),378(6),378(6),-,-,170(5),252(5),252(5)
,1,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,1,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,140(1),503(1),723(3),4240(1),-,724(3),1115(3),1115(3),1192(1),6631(1),255(1),255(1),255(1)
,1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,3,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,14(1),14(1),14(1),-,-,-,-,-,-,-,364(3),394(3),256(3)
,2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,1+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,14(1),14(1),14(1),-,-,-,-,-,-,-,364(3),394(3),256(3)
,3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,1+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,14(1),14(1),14(1),-,-,-,-,-,-,-,364(3),394(3),256(3)
,1,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,1,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,346(2),346(2),346(2),-,-,225(1),225(1),225(1),-,-,266(1),266(1),266(1)
,2,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,0+1(VV),"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,346(2),346(2),346(2),-,-,225(1),225(1),225(1),-,-,266(1),266(1),266(1)
,3,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,0+1(VV),"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,346(2),346(2),346(2),-,-,225(1),225(1),225(1),-,-,266(1),266(1),266(1)
,1,IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,5,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,300(4),300(4),300(4),-,-,180(5),180(5),180(5),-,-,273(5),273(5),273(5)
,2,IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,0+2(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,300(4),300(4),300(4),-,-,180(5),180(5),180(5),-,-,273(5),273(5),273(5)
,3,IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,0+2(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,300(4),300(4),300(4),-,-,180(5),180(5),180(5),-,-,273(5),273(5),273(5)
,1,AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,1,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,634(1),634(1),634(1),-,-,113(2),113(2),113(2),-,-,275(1),275(1),275(1)
,1,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,175(1),175(1),175(1),-,-,264(2),456(2),456(2),-,-,89(1),89(1),276(1)
,2,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,175(1),175(1),175(1),-,-,264(2),456(2),456(2),-,-,89(1),89(1),276(1)
,3,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,175(1),175(1),175(1),-,-,264(2),456(2),456(2),-,-,89(1),89(1),276(1)
,1,AIQ,GEN,Kerala,"Medical College, Trivandrum",DERMATOLOGY,2,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,605(1),294(1),1658(1),-,-,-,-,-,-,-,282(2),282(2),282(2)
,2,AIQ,GEN,Kerala,"Medical College, Trivandrum",DERMATOLOGY,0+2(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,605(1),294(1),1658(1),-,-,-,-,-,-,-,282(2),282(2),282(2)
,3,AIQ,GEN,Kerala,"Medical College, Trivandrum",DERMATOLOGY,0+2(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,605(1),294(1),1658(1),-,-,-,-,-,-,-,282(2),282(2),282(2)
,1,AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,374(1),374(1),374(1),-,-,212(1),212(1),212(1),-,-,283(1),283(1),283(1)
,2,AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,374(1),374(1),374(1),-,-,212(1),212(1),212(1),-,-,283(1),283(1),283(1)
